Symbol,Buy,Sell,Net,Timestamp
LINK/USDT,117993.73233998001,134715.56840997,-16721.836069989993,2025-10-05 19:37:21
SUI/USDT,729568.4361438521,911183.1542157781,-181614.71807192604,2025-10-05 19:37:21
SHIB/USDT,125621989656.39027,128427323598.37364,-2805333941.983368,2025-10-05 19:37:21
LTC/USDT,39841.934799999995,47569.13219999999,-7727.197399999997,2025-10-05 19:37:21
ATOM/USDT,39374.036779999995,41185.67572000001,-1811.6389400000116,2025-10-05 19:37:21
XLM/USDT,1979380.99,2687254.44,-707873.45,2025-10-05 19:37:21
UNI/USDT,136760.6876,183145.2967,-46384.6091,2025-10-05 19:37:21
ICP/USDT,45526.7387,53609.098,-8082.359299999996,2025-10-05 19:37:21
APT/USDT,134728.17272700803,127429.040040512,7299.132686496028,2025-10-05 19:37:21
NEAR/USDT,635913.533,798021.3193,-162107.78629999992,2025-10-05 19:37:21
AAPL,49107000.0,0.0,49107000.0,2025-10-05 19:37:21
MSFT,15104200.0,0.0,15104200.0,2025-10-05 19:37:21
GOOG,19935800.0,0.0,19935800.0,2025-10-05 19:37:21
GC=F,0.0,0.0,0.0,2025-10-05 19:37:21
CL=F,0.0,0.0,0.0,2025-10-05 19:37:21
TSLA,0.0,132772600.0,-132772600.0,2025-10-05 19:37:21
NVDA,0.0,137340500.0,-137340500.0,2025-10-05 19:37:21
BTC/USDT,1234.8821623408664,1329.1098281112993,-94.22766577043285,2025-10-05 20:17:30
ETH/USDT,44860.25637309399,54527.346105356,-9667.089732262015,2025-10-05 20:17:30
BNB/USDT,1506.2135799999999,1637.77512,-131.56154000000015,2025-10-05 20:17:30
XRP/USDT,4387069.886326091,5739670.464689138,-1352600.578363047,2025-10-05 20:17:30
SOL/USDT,66725.072224724,77374.73722277599,-10649.664998051987,2025-10-05 20:17:30
DOGE/USDT,17886683.468179196,21749617.79439106,-3862934.3262118623,2025-10-05 20:17:30
ADA/USDT,6162073.09661014,8127161.499915209,-1965088.4033050686,2025-10-05 20:17:30
TRX/USDT,1839637.5219999999,2175639.488,-336001.966,2025-10-05 20:17:30
AVAX/USDT,68750.30189530201,85643.039796868,-16892.737901565997,2025-10-05 20:17:30
DOT/USDT,176981.84128000002,212379.09592000002,-35397.25464,2025-10-05 20:17:30
LINK/USDT,113082.37067998,136639.42516996997,-23557.05448998997,2025-10-05 20:17:30
SUI/USDT,721029.236143852,887043.0542157781,-166013.81807192613,2025-10-05 20:17:30
SHIB/USDT,114354373184.40623,123317106507.71008,-8962733323.303848,2025-10-05 20:17:30
LTC/USDT,37899.192599999995,43630.1384,-5730.945800000009,2025-10-05 20:17:30
ATOM/USDT,40996.32578000001,43628.815019999995,-2632.489239999988,2025-10-05 20:17:30
XLM/USDT,1804032.8800000001,2391828.0100000002,-587795.1300000001,2025-10-05 20:17:30
UNI/USDT,133668.24698,174774.52302,-41106.27604,2025-10-05 20:17:30
ICP/USDT,41215.69362,51165.21538,-9949.521760000003,2025-10-05 20:17:30
APT/USDT,120532.538847008,106135.589220512,14396.949626496003,2025-10-05 20:17:30
NEAR/USDT,640555.42756,804984.1611400001,-164428.73358000012,2025-10-05 20:17:30
AAPL,49107000.0,0.0,49107000.0,2025-10-05 20:17:30
MSFT,15104200.0,0.0,15104200.0,2025-10-05 20:17:30
GOOG,19935800.0,0.0,19935800.0,2025-10-05 20:17:30
GC=F,0.0,0.0,0.0,2025-10-05 20:17:30
CL=F,0.0,0.0,0.0,2025-10-05 20:17:30
TSLA,0.0,132772600.0,-132772600.0,2025-10-05 20:17:30
NVDA,0.0,137340500.0,-137340500.0,2025-10-05 20:17:30
